drink name,closest popular drink,score
king's snap the chocolate out of you,ace,1.4973067226758354
king's toddy,french 75,2.0672941924432187
kir,kir,3.9195361952500765
kir royale,kir,3.4444186332279187
kiss,martini,0.822268660084156
kiss of persuasion,pink colada,2.652945793878294
knockemdown key,pink mojito,4.038109135877801
kumquat smash,pink colada,2.5400193033976772
l.e.s. is more,french 75,2.0354708191823807
l'aviation,french 75,1.9832377501035794
la capilla,french 75,1.6344634046703244
la chiara,kentucky mai tai,7.809946990716602
la hops vie,french 75,1.9604345493708029
la la land,french 75,1.6669526372412125
la madrugada,french 75,1.6607953708106489
la maracuja,dark caipirinha,8.702789594555936
la nueva moda (the new fashion),kentucky mai tai,8.38391676970926
last samurai,lemon drop,0.8476914000447386
last word,french 75,1.786243269764337
le femme nikita,kentucky mai tai,8.091737537484127
le sang et sable,tequila sunrise,0.8712878642394465
lemon drop,lemon drop,1.3065120650833586
little ground tapper,kentucky mai tai,8.605517660147253
local edition punch,french 75,1.5861702357737397
lonesome george,pink mojito,3.206186998788157
long division,tequila sunrise,0.9074423275639777
long island limoncello martini,french 75,1.797556858919723
lost at sea,pink mojito,4.145027889629806
lovage in the garden,pink mojito,3.715573385756138
lux cherry sparkler,pink colada,2.54923961853657
lux japanese lemonade,french 75,1.8281887099051457
lux orchard lemonade,french 75,1.753006342297856
lux shandy,french 75,1.8794955198839218
luxardo fresco,french 75,1.733609188051784
luxardo ice cream float,pink colada,2.6761762437702132
luxardo maraschino simple spritz,mojito,8.000191607106366
luxardo sling,french 75,1.6607953708106489
luxardo sour,kentucky mai tai,9.150524783282501
malibu twister,pink colada,2.977580470178065
mandrake,flambeed brandy alexander,1.852397576610408
manhattan,manhattan,2.0706332120937523
maraschino side car,french 75,1.786243269764337
marchesa,kentucky mai tai,8.318508570105115
maria canevari punch,french 75,1.8870640713384053
martinez,manhattan,1.5910188234688998
martinez cocktail,martini,0.9267645292846134
martini,martini,1.3064241022431862
mary pickford,pink colada,3.0609251947574685
masataka's vision,kentucky mai tai,8.253912780043715
mauritian buck,pink colada,3.028428899914714
mauritian made,pink mojito,4.608592875011328
mauritius sour,pink mojito,4.038109135877801
mayahuel's revenge,manhattan,1.3265965149215093
mayan decadence,kentucky mai tai,8.045971241107818
mayan mule,kentucky mai tai,8.696581634531427
mayan sacrifice champagne cocktail,french 75,1.4508802819525315
mean martinez,martini,0.7177727908836985
merry sherry cobbler,kentucky mai tai,8.746325411916876
mexican sazerac,kentucky mai tai,8.389907236995654
mexico mule,pink mojito,3.5866355687003733
mezcal witch,pink mojito,4.038698707277732
miami vice,pink colada,2.3276524960598026
midnight mint,ace,1.6228138722239385
mille miglia,pink mojito,3.5604580602446094
mint garden,french 75,1.8444159490242023
mister gingy,kentucky mai tai,9.534019823185728
miyagikyo kick,french 75,1.6473772847789587
mojito,mojito,12.554507956924983
mojito #3,pink mojito,3.860668908225561
monet,french 75,1.7403231152736103
monkey gland,tequila sunrise,0.9447526207973012
morlacco julep,pink mojito,3.278445400932223
mott and mulberry,french 75,1.843813622035527
muddled mission,french 75,1.7658904691371964
mule pigeon,kentucky mai tai,8.659750168121507
mystique green (adapted),french 75,1.8791035860444227
nara mule,french 75,1.8870640713384053
naughty nikka,kentucky mai tai,8.54360635871739
negroni,manhattan,1.6014070039998316
negroni d'amore,flambeed brandy alexander,2.122825685877299
negroni sorbetto,flambeed brandy alexander,2.23523731552622
neighborhood negroni,manhattan,1.5707088781653409
neko colada,pink colada,2.677716950958615
nellie fer' toddy,french 75,1.753006342297856
new york lemonade,lemon drop,0.9233497273522852
newton's theory,kentucky mai tai,8.003514182997685
nieux carré,kentucky mai tai,8.003514182997685
nigamono,french 75,1.42948153664881
nikka coffey grain perfect manhattan,manhattan,1.7287963952391252
nikka coffey malt old fashioned,manhattan,1.5027010758617425
nikka earl grey,french 75,1.4963101190920118
no.3 & t,french 75,1.9399723336161254
no.3 bramble,french 75,1.9435655178914324
no.3 negroni,manhattan,1.6014070039998316
nola '75,french 75,2.0354708191823807
nuestra julep,kentucky mai tai,8.995475179950656
oaxacan martini,kentucky mai tai,9.33563172888214
obituary cocktail,martini,0.9134184551464769
ode to kinshi,kentucky mai tai,8.003514182997685
off the radar,french 75,1.676030352455468
old fashioned,kentucky mai tai,9.262093947095488
old tom and the sea,manhattan,1.3063179970122538
on the flipside,pink mojito,4.6871886779368115
on the wings of eagles,kentucky mai tai,9.33563172888214
orange batida,tequila sunrise,0.9421534611674256
orange crush,pink colada,2.421318224481345
orchard malt mule,kentucky mai tai,9.223778576572537
p.t. barnum cocktail,french 75,1.9832377501035794
pacific breeze,pink mojito,3.7834125198977206
pacific kick,french 75,1.733609188051784
padova collins,pink mojito,3.6914548296253784
palais royal,french 75,1.733609188051784
palermo breeze,french 75,1.5739822504578846
pants off dance off,french 75,1.753006342297856
paradiso sun,tequila sunrise,0.893756724803593
parisian manhattan,kentucky mai tai,8.827070149493627
party in the agave fields,manhattan,1.4684267515198561
passion fruit batida,dark caipirinha,8.787934380719008
passionate pigeon ,pink mojito,3.859505857490293
pb&k old fashioned,kentucky mai tai,8.995475179950656
pda,french 75,1.6470119807450228
peace daiquiri,pink mojito,4.456702011851717
peach batida,pink colada,2.7656953823368506
peachy keane,kentucky mai tai,9.695797039323175
pear and cranberry fizz,french 75,1.6473772847789587
peruvian wish (adapted),french 75,1.4508802819525315
peter pumpkin,french 75,1.689542658788352
phad thai,french 75,1.65683121835359
phineas flip,pink colada,2.54923961853657
picadilly,french 75,2.053735812727015
piedra de sol,kentucky mai tai,9.33563172888214
pina del este,pink mojito,3.5011201579154165
pineapple express,pink colada,2.565803291224315
pink & black,pink colada,3.316767982867918
pink & ginger,pink colada,3.316767982867918
pink colada,pink colada,4.340139135309716
pink mojito,pink mojito,5.549594888144667
pink pigeon punch,pink mojito,4.2744958995809315
pink punch,pink colada,3.226603871434523
pink ribbon,pink colada,2.8580763777325022
pisco punch,pink mojito,4.0890136784028535
pisco punch (adaptation by the commissary),french 75,1.7160101317950238
pisco punch (adaptation by the comstock saloon),french 75,1.7666781404119394
pisco sour,french 75,1.8607231597750924
pistachio follies,pink colada,2.7318095697090206
platonic snuggle,pink colada,2.6515767337807494
playa matalan (mezcal negroni),manhattan,1.6543239765577713
polish penance,manhattan,1.2891629737244243
pontchartrain punch,french 75,1.7476084911634133
prata punch,dark caipirinha,9.022813120528708
prickly pear margarita,pink mojito,3.7600598944669104
primo carnera,pink colada,2.2294361333985075
prince of humbugs,kentucky mai tai,8.605517660147253
profundo,pink colada,2.5802785534873864
pumpkin & pecan,french 75,1.8791035860444227
radice amara,french 75,1.5308574204498013
raspberry batida,flambeed brandy alexander,2.2395558977220094
red bud trail,manhattan,1.5634938970232537
red letters,french 75,1.6322333042507928
redondo beach,pink mojito,3.880135386903855
rhapsody in red,french 75,1.7160101317950238
rio de janeiro mule,kentucky mai tai,8.746325411916876
rita's song,french 75,1.6026416070832763
ritz cocktail,french 75,1.786243269764337
roasted cherry colada,dark caipirinha,9.132034059323805
root down,french 75,1.6778239746905659
rose sangria,french 75,1.831936153892229
rothes julep,pink mojito,3.9931777549506164
rothes roy,manhattan,1.6811721064173761
round pond aperitif,french 75,1.9212347318689422
ruby tuesday,tequila sunrise,0.8906237567473916
rudolph's rose,flambeed brandy alexander,2.0920839534874296
sabotage,kentucky mai tai,7.376827786646363
sade's taboo,manhattan,1.3382250196483454
sahara glowing heart,kentucky mai tai,9.23873804379004
salty swede,pink mojito,3.5675758968854634
san fran shandy,kentucky mai tai,9.223778576572537
san fran soda,pink mojito,3.7600598944669104
santa patricia,french 75,1.7310684230846618
sazerac,manhattan,1.4684267515198561
scotch joplin,kentucky mai tai,9.015676087789311
see you t'amaro,french 75,1.843813622035527
seersucker sunshine,french 75,1.6470119807450228
shadowcat,kentucky mai tai,9.150524783282501
shark attack,lemon drop,0.9233497273522852
short round,pink colada,2.6320789568750964
short round ii,pink mojito,3.762846156623635
sidecar,french 75,1.8991813077639401
sidewinder,kentucky mai tai,8.141266578628017
simply perfecto,french 75,1.501256960147883
singapore sling (1915 recipe),french 75,1.787593123356336
sloe & steady,french 75,1.4963101190920118
smashing great pumpkins,pink colada,2.4478152100240864
smoke on the dock,french 75,1.7658904691371964
snow bunny,french 75,1.65683121835359
soleo,pink colada,2.3808031617764946
solera sidecar,french 75,1.843813622035527
soma fizz,french 75,1.753006342297856
sorrentino,manhattan,1.5579474773819673
sorriso (adapted),french 75,1.6344634046703244
space age pop,french 75,1.7120298651659562
spice and stormy,pink mojito,4.197326161088864
spiced marmalade,french 75,1.9033710775124357
spring cleanse,pink mojito,3.0828069846114174
spring forward,french 75,2.015249092775893
stinger,flambeed brandy alexander,2.5105584564061765
stone fruit patch v1,pink mojito,3.606874391994777
stone fruit patch v2,french 75,1.7658904691371964
stranger in the alps,french 75,1.4871691301051204
strike no.3,french 75,2.0354708191823807
stroll through the park,french 75,1.787593123356336
swedish 75,lemon drop,0.8818196332013429
swedish nightingale,french 75,1.6778239746905659
swedish royal,martini,0.8324693061125823
tahitian fix,french 75,1.8281887099051457
tamaulipas margarita,tequila sunrise,0.893756724803593
tea & sympathy,french 75,1.6607953708106489
tea party cocktail,french 75,1.8791035860444227
temple of the moon,french 75,1.6385205556984106
tequila sunflare,french 75,1.552916677545625
tequila sunrise,tequila sunrise,1.3065120650833586
the alpine mist,pink mojito,3.750215511987397
the asterisk,french 75,1.733609188051784
the awen,kentucky mai tai,8.746325411916876
the bacchus cocktail,pink colada,2.613200315564182
the big picture,french 75,1.7160101317950238
the bitter king,french 75,2.0377368394547584
the bittered valley,kentucky mai tai,8.003514182997685
the boys of summer cup,french 75,1.800198368122511
the brightside,pink colada,3.226603871434523
the canevari cocktail,manhattan,1.522733743928058
the cappa,martini,0.7358091896168094
the cavalier white lady,french 75,1.960650313169122
the chief,kentucky mai tai,8.045971241107818
the claridge,martini,0.9267645292846134
the cliffdiver,kentucky mai tai,8.517636023459382
the commissioner's trophy #3,french 75,1.6929910196447522
the double crown,french 75,1.6796765254246813
the douglas tilden,kentucky mai tai,8.337764880737755
the evil blue thing,'57 chevy with a white license plate,9.320024014715406
the french connection,french 75,2.094860972574471
the fritz,kentucky mai tai,7.99002964593712
the ginger royale,pink colada,2.0375540423156706
the hollinger manhattan,manhattan,1.2080407036409633
the house of duncan,kentucky mai tai,8.672814361493929
the improved sazerac,french 75,1.6669526372412125
the inside job,kentucky mai tai,9.06976874166649
the king and tonic,kentucky mai tai,9.127207908194489
the king merlet sidecar,french 75,1.7310684230846618
the king's autumn cobbler,kir,2.2938659996646935
the king's cranberry sauce,tequila sunrise,0.8162975997451698
the king's egg nog,ace,1.7350553519577423
the king's froth & frizz,pink mojito,3.446767773920722
the king's ginger spiced punch,pink mojito,3.7600598944669104
the king's ginger summer cup,pink mojito,3.6514167416843386
the king's medicine,french 75,1.6344634046703244
the king's mulled cider,pink colada,2.7656953823368506
the king's mulled wine,dark caipirinha,8.395955174527284
the king's queen,dark caipirinha,8.251072394161426
the king's spring daisy,french 75,1.9399723336161254
the king's squeeze,lemon drop,0.8002927780435333
the king's winter cup,pink colada,2.480686750073048
the kings mule,kentucky mai tai,9.253622147014115
the lady whisper,manhattan,1.3731774117295763
the ladybird,pink colada,2.94209489426853
the last marasca,french 75,1.7658904691371964
the last wish,flambeed brandy alexander,2.0395917867693427
the lover's quarrel ,french 75,1.9785534451197255
the mad king,kentucky mai tai,8.827070149493627
the mayan premonition,french 75,1.7666781404119394
the molino,french 75,1.8344216115161776
the monte rua,french 75,1.562955538405384
the no.3 winter cup,martini,0.8518052253459468
the no.3 winter punch,martini,0.8817316703611703
the palace cellar,french 75,1.7757841512489383
the pink aperitivo,manhattan,1.2752667248176996
the pink pussycat,pink colada,3.1888465888126936
the professor,kentucky mai tai,8.486398488247007
the proverb,kentucky mai tai,8.916318483106801
the queen's a redhead,french 75,1.6344634046703244
the red anchor,french 75,1.9399723336161254
the reserved king,kentucky mai tai,9.969140975329097
the rickenbacker,manhattan,1.4440604838562843
the robert baratheon,kentucky mai tai,8.916318483106801
the royal buck,french 75,2.1513506347828577
the royal king,pink colada,2.3808031617764946
the rusty tack,pink colada,2.3276524960598026
the seniorita,pink colada,2.8956768409677305
the silver cocktail,martini,0.8911539861400606
the sixth sense,pink colada,3.1230030646591023
the southside,french 75,2.252504520362262
the sparkler,flambeed brandy alexander,1.9630339079045518
the stand by,kentucky mai tai,8.916318483106801
the sun also rises,pink mojito,3.5362692695329283
the tahoe toddy,french 75,1.5457015408114738
the touch  of glass,pink colada,2.2504281094671845
the twinger ,kentucky mai tai,9.253622147014115
the windtalker,french 75,1.6778239746905659
three flips,french 75,1.8991813077639401
thyme for bed,pink mojito,3.9517348928862197
toasted drop,french 75,1.6607953708106489
tokyo tea,kentucky mai tai,8.54360635871739
trip to jarnac,french 75,2.042197040293822
tropical bronzer,french 75,1.65683121835359
under the sun,pink colada,2.761186723877958
venetian,martini,0.8583414575503777
vesper,french 75,1.7120298651659562
vesper's sister,martini,0.805521360218024
vida verde (adapted),mojito,8.047835149842411
vieux carré,manhattan,1.6599986250742629
vintage reserve sour,french 75,2.0377368394547584
vinterpäls,tequila sunrise,0.8619056867288293
virgil st.,manhattan,1.4794482039036934
wabash avenue sour,french 75,1.6778239746905659
war of the roses,french 75,1.8281887099051457
west coast punch,pink mojito,3.9517348928862197
west coast vesper,'57 chevy with a white license plate,6.89349401497636
where's the orgeat?,kentucky mai tai,9.998270904704967
white lady,french 75,1.6929910196447522
white lady (classic) (adapted),french 75,1.9832377501035794
white tie,french 75,1.7658904691371964
white walker flip,kentucky mai tai,8.045971241107818
willow,manhattan,1.362477977196584
windtalker,french 75,1.6778239746905659
winter season,french 75,1.6778239746905659
winter swizzle,pink colada,3.3943653202449595
yawkey way ,french 75,1.8607231597750924
yellow bird,mojito,8.24880173461242
"yes, queen!",french 75,1.6929910196447522
you bet your ascot,french 75,1.562955538405384
you're bitter than that,pink mojito,3.9681663037112584
ypioca chile punch,dark caipirinha,9.620279890777407
ypioca yellow card,pink colada,2.9179694571634114
zippy's revenge,pink colada,2.421318224481345
zorbatini,'57 chevy with a white license plate,7.95003998954488
